唯一标识,所在区域,景点名称,评论数量,评分,是否为广告内容,是否被推荐,城市名称,图片,与市中心的距离,标签,详情页链接,市场票价,优惠价格,优惠描述,实际票价,价格类型,价格类型描述,是否免费,经度,纬度,热度评分,省份
83169,M50创意园,长寿路商业区,436.0,4.6,False,False,上海,https://dimg04.c-ctrip.com/images/0105w12000f6t3kleD0E5.jpg,距市中心3.0km,历史建筑|夜游观景,https://you.ctrip.com/sight/shanghai2/50314.html?scene=online,,,,免费,4.0,免费,True,31.254456,121.455795,3.6,上海
76803,太阳岛旅游度假区,青浦朱家角/东方绿舟,463.0,4.5,False,False,上海,https://dimg04.c-ctrip.com/images/0101x120009v6y49xC00E.jpg,距市中心43.8km,遛娃宝藏地|亲子同乐,https://you.ctrip.com/sight/shanghai2/5679.html?scene=online,30.0,6.0,已减,24.0,2.0,门票,False,31.042901,121.080159,3.6,上海
76965,上海朱家角古镇旅游区-放生桥,青浦朱家角/东方绿舟,336.0,4.6,False,False,上海,https://dimg04.c-ctrip.com/images/0103h120008ihh2m73CBA.jpg,距市中心41.9km,历史建筑|地标观景,https://you.ctrip.com/sight/shanghai2/7088.html?scene=online,,,,免费,4.0,免费,True,31.117896,121.062358,3.6,上海
10558597,网师园,十全街/盘门风景区,5100.0,4.7,False,False,苏州,https://dimg04.c-ctrip.com/images/1lo3y12000ddcm8lv852D.jpg,距上海80.2km,遛娃宝藏地|亲子同乐,https://you.ctrip.com/sight/suzhou11/1826.html?scene=online,40.0,0.0,已减,40.0,2.0,门票,False,31.304102,120.640584,6.7,上海
10533894,南汇嘴观海公园,滴水湖临港地区,203.0,4.2,False,False,上海,https://dimg04.c-ctrip.com/images/0102512000f6sfrmpA7E0.jpg,距市中心61.4km,自然山水|夜游观景,https://you.ctrip.com/sight/shanghai2/111269.html?scene=online,,,,免费,4.0,免费,True,30.886852,121.978222,3.6,上海
152737492,上海 · 【上海话】罗易专场「上海小爷叔」每周六晚｜喜剧联盒国大咖明星秀,淮海路/新天地地区,0.0,0.0,False,False,上海,https://dimg04.c-ctrip.com/images/0104c12000mgan3ws3AA1.png,距市中心1.2km,,https://you.ctrip.com/sight/shanghai2/152737492.html?scene=online,,,,免费,5.0,,False,31.226853,121.485599,3.6,上海
154004730,上海第18届魔都理想乡漫展,七宝古镇,0.0,0.0,False,False,上海,https://dimg04.c-ctrip.com/images/0106v12000r97xcubDC69.jpg,距市中心13.6km,展览,https://you.ctrip.com/sight/shanghai2/154004730.html?scene=online,,,,免费,5.0,,False,31.164188,121.364449,3.6,上海
154038076,苏州 · 周传雄2026《念念不忘·再遇见plus》巡回演唱会,工业园区金鸡湖东/诚品书店,0.0,0.0,False,False,苏州,https://dimg04.c-ctrip.com/images/0103g12000d4uebn90E4A.jpg,距上海69.4km,演唱会,https://you.ctrip.com/sight/suzhou11/154038076.html?scene=online,,,,免费,5.0,,False,31.311266,120.755113,6.3,上海
151789013,上海 · 环境式驻演原创音乐剧《亡灵之旅：冥犬与少年》,人民广场地区,0.0,0.0,False,False,上海,https://dimg04.c-ctrip.com/images/0101312000lr7ie59390B.png,距市中心577m,,https://you.ctrip.com/sight/shanghai2/151789013.html?scene=online,,,,免费,5.0,,False,31.2399,121.484589,3.6,上海
79438237,中国证券博物馆,外滩核心区,29.0,4.7,False,False,上海,https://dimg04.c-ctrip.com/images/01002120009414icf6965.jpg,距市中心2.3km,历史建筑|博物馆&展馆,https://you.ctrip.com/sight/shanghai2/5704610.html?scene=online,,,,免费,4.0,免费,True,31.2499,121.497598,3.6,上海
